date,price_month,kospi_month,pricemm,kospimm,price_slope,kospi_slope,k_s - p_s,downturn
2019-11,4888.75,2128.794762,0.5017373450205977,0.2323077128540374,-0.2803206190734604,0.012373551171746433,0.29269417024520683,1.0
2019-12,4082.0,2147.0135,0.22141672594713735,0.24468126402578383,-0.2803206190734604,0.012373551171746433,0.29269417024520683,1.0
2020-01,3942.0,2203.4425,0.172771065370398,0.28300593388329487,-0.04864566057673936,0.03832466985751104,0.0869703304342504,1.0
2020-02,4240.5,2167.1235,0.2764905631000887,0.258339296435264,0.10371949772969069,-0.02466663744803088,-0.12838613517772157,0.0
2020-03,3444.772727,1786.746364,0.0,0.0,-0.2764905631000887,-0.258339296435264,0.018151266664824695,1.0
2020-04,4375.0,1849.589,0.32322514415417025,0.04268059468847074,0.32322514415417025,0.04268059468847074,-0.2805445494656995,0.0
2020-05,5418.421053,1965.174211,0.6857816183174701,0.12118216395224901,0.36255647416329984,0.07850156926377827,-0.28405490489952157,0.0
2020-06,4960.227273,2134.696818,0.5265734818870902,0.2363161898371584,-0.1592081364303799,0.1151340258849094,0.2743421623152893,1.0
2020-07,5078.695652,2195.948696,0.5677375715578796,0.2779163954495656,0.04116408967078944,0.04160020561240718,0.0004361159416177429,1.0
2020-08,5160.0,2349.873,0.5959883123880303,0.38245658106063707,0.028250740830150667,0.10454018561107148,0.07628944478092081,1.0
2020-09,5363.809524,2371.51619,0.6668058047223933,0.3971559043060138,0.07081749233436296,0.014699323245376705,-0.05611816908898626,0.0
2020-10,5222.894737,2357.821053,0.6178422840177822,0.38785463006442944,-0.048963520704611074,-0.009301274241584334,0.03966224646302674,1.0
2020-11,5155.714286,2504.180952,0.5944991596125091,0.48725732742843797,-0.023343124405273086,0.09940269736400853,0.12274582176928162,1.0
2020-12,5931.428571,2755.770952,0.864035829702781,0.6581287532812998,0.26953667009027193,0.17087142585286186,-0.09866524423741008,0.0
2021-01,5726.0,3089.267,0.7926557687197051,0.8846279990305526,-0.07138006098307592,0.22649924574925273,0.29787930673232865,1.0
2021-02,5722.222222,3092.411667,0.7913431079602604,0.8867637505871424,-0.0013126607594446948,0.002135751556589849,0.0034484123160345437,1.0
2021-03,6037.227273,3032.469091,0.9007975993238637,0.8460527786470275,0.1094544913636033,-0.04071097194011486,-0.15016546330371816,0.0
2021-04,6322.727273,3165.083182,1.0,0.93611978773861,0.09920240067613628,0.0900670090915825,-0.009135391584553787,0.0
2021-05,5985.5,3169.200526,0.8828239752887326,0.9389161486432833,-0.11717602471126742,0.0027963609046732785,0.1199723856159407,1.0
2021-06,5891.363636,3259.14,0.8501145066382154,1.0,-0.03270946865051716,0.06108385135671668,0.09379332000723384,1.0
2021-07,5975.909091,3254.573182,0.8794914316899014,0.996898371543899,0.029376925051685987,-0.0031016284561009577,-0.032478553507786945,0.0
2021-08,5415.0,3182.500952,0.6845929084385198,0.9479493485123975,-0.19489852325138157,-0.048949023031501504,0.14594950021988007,1.0
2021-09,5117.894737,3141.699474,0.5813580385852277,0.9202383634861078,-0.10323486985329211,-0.02771098502628977,0.07552388482700234,1.0
2021-10,4846.052632,2989.873158,0.4869013330831111,0.8171230604259416,-0.0944567055021166,-0.10311530306016614,-0.008658597558049541,0.0
2021-11,4765.454545,2964.301818,0.45889599605927867,0.7997558704471337,-0.028005337023832455,-0.01736718997880793,0.010638147045024526,1.0
2021-12,4591.363636,2988.494091,0.3984048012827788,0.8161864447232645,-0.06049119477649989,0.016430574276130816,0.0769217690526307,1.0
2022-01,4986.75,2865.552,0.5357893074243152,0.7326883311793941,0.1373845061415364,-0.08349811354387038,-0.2208826196854068,0.0
2022-02,5638.888889,2724.015,0.762387357732786,0.6365611838327723,0.2265980503084708,-0.09612714734662187,-0.32272519765509267,0.0
2022-03,5451.904762,2698.71619,0.6974161693379295,0.6193790870201779,-0.0649711883948565,-0.017182096812594416,0.04778909158226208,1.0
2022-04,5528.571429,2703.242857,0.7240554597695856,0.6224534462739284,0.026639290431656137,0.003074359253750547,-0.02356493117790559,0.0
2022-05,5101.666667,2628.338571,0.5757192872635453,0.5715809865127668,-0.14833617250604036,-0.050872459761161615,0.09746371274487875,1.0
2022-06,4232.75,2424.412,0.27379767831816193,0.43308095091494936,-0.30192160894538334,-0.13850003559781743,0.1634215733475659,1.0
2022-07,3825.238095,2362.794762,0.13219992252094448,0.391232605137394,-0.14159775579721745,-0.04184834577755536,0.09974941001966209,1.0
2022-08,4022.5,2479.571364,0.2007423202020231,0.4705433269069086,0.06854239768107862,0.07931072176951459,0.010768324088435977,1.0
