,경제심리지수(원계열),경제심리지수(순환변동치)
2003.01,101.0,95.8
2003.02,102.2,95.7
2003.03,92.4,95.7
2003.04,98,96
2003.05,96.2,96.5
2003.06,93.1,97.3
2003.07,92.8,98.2
2003.08,99.0,99.2
2003.09,99.1,100.1
2003.10,98.9,100.9
2003.11,102.9,101.6
2003.12,102.8,102.1
2004.01,105.9,102.3
2004.02,106.9,102.3
2004.03,105.4,102.0
2004.04,108.0,101.5
2004.05,99.2,100.8
2004.06,96.7,99.9
2004.07,95.4,99.1
2004.08,96.2,98.2
2004.09,97.8,97.4
2004.10,95.4,96.9
2004.11,92.2,96.9
2004.12,90.4,97.4
2005.01,95.4,98.5
2005.02,107.9,99.9
2005.03,110.7,101.5
2005.04,110.2,102.9
2005.05,103.7,104.1
2005.06,102.1,105.1
2005.07,99.1,106.1
2005.08,103.3,107.0
2005.09,106.6,107.9
2005.10,105.3,108.8
2005.11,109.2,109.8
2005.12,112.1,110.6
2006.01,114.7,111.1
2006.02,116.1,111.3
2006.03,116.8,111.2
2006.04,115.3,110.7
2006.05,109.3,110.1
2006.06,104.4,109.4
2006.07,103.2,108.8
2006.08,105.3,108.4
2006.09,106.9,108.1
2006.10,109.2,108.0
2006.11,109.4,108.1
2006.12,107.2,108.5
2007.01,106.2,109.1
2007.02,112.5,110.0
2007.03,113.0,111.2
2007.04,114.5,112.4
2007.05,113.8,113.6
2007.06,112.7,114.7
2007.07,114.3,115.4
2007.08,116.5,115.6
2007.09,115.7,115.4
2007.10,114.4,114.8
2007.11,113.6,113.8
2007.12,110.9,112.6
2008.01,111.2,111.1
2008.02,113.5,109.3
2008.03,106.5,107.3
2008.04,107.8,104.9
2008.05,103.6,102.3
2008.06,98.7,99.2
2008.07,93.7,95.7
2008.08,101.8,91.7
2008.09,97.9,87.3
2008.10,82.8,82.9
2008.11,71.7,79.1
2008.12,61.9,76.8
2009.01,68.3,76.2
2009.02,71.0,77.6
2009.03,74.0,80.7
2009.04,90.6,85.1
2009.05,95.7,90.1
2009.06,98.9,95.1
2009.07,99.7,99.8
2009.08,108.1,103.8
2009.09,109.3,107.0
2009.10,111.8,109.4
2009.11,108.3,111.2
2009.12,109.9,112.5
2010.01,112.8,113.4
2010.02,115.9,114.0
2010.03,114.8,114.4
2010.04,116.2,114.7
2010.05,115.4,114.9
2010.06,114.4,114.9
2010.07,114.3,114.8
2010.08,113.0,114.5
2010.09,113.4,114.1
2010.10,111.4,113.6
2010.11,112.6,112.9
2010.12,111.1,112.2
2011.01,111.0,111.5
2011.02,112.4,110.7
2011.03,109.1,109.9
2011.04,112.5,109.3
2011.05,110.7,108.7
2011.06,107.8,108.1
2011.07,107.1,107.5
2011.08,105.6,106.8
2011.09,105.5,106.1
2011.10,103.6,105.4
2011.11,103.6,104.7
2011.12,99.6,104.0
2012.01,100.7,103.5
2012.02,104.3,102.9
2012.03,105.5,102.4
2012.04,108.8,101.6
2012.05,105.0,100.6
2012.06,100.3,99.4
2012.07,96.1,98.1
2012.08,94.6,96.9
2012.09,93.6,95.7
2012.10,91.6,94.9
2012.11,90.8,94.3
2012.12,91.4,94.1
2013.01,94.5,94.1
2013.02,96.3,94.4
2013.03,98.3,94.7
2013.04,97.9,95.2
2013.05,97.3,95.7
2013.06,96.4,96.2
2013.07,95.7,96.8
2013.08,95.5,97.3
2013.09,96.1,97.9
2013.10,97.7,98.4
2013.11,97.8,98.8
2013.12,97.7,99.1
2014.01,100.2,99.3
2014.02,102.3,99.3
2014.03,100.8,99.2
2014.04,102.1,99.0
2014.05,100.6,98.8
2014.06,97.3,98.6
2014.07,95.4,98.5
2014.08,97.5,98.5
2014.09,100.2,98.5
2014.10,95.7,98.5
2014.11,97.2,98.6
2014.12,96.2,98.6
2015.01,97.8,98.7
2015.02,102.3,98.7
2015.03,100.7,98.5
2015.04,103.0,98.3
2015.05,101.5,97.9
2015.06,91.5,97.4
2015.07,95.2,97.0
2015.08,96.6,96.7
2015.09,96.2,96.3
2015.10,96.8,95.9
2015.11,96.6,95.4
2015.12,93.6,94.9
2016.01,93.5,94.4
2016.02,92.3,94.1
2016.03,93.9,94.0
2016.04,96.6,94.2
2016.05,94.9,94.5
2016.06,94.6,95.0
2016.07,95.8,95.6
2016.08,97.7,96.0
2016.09,97.3,96.3
2016.10,96.0,96.6
2016.11,95.5,96.7
2016.12,94.0,96.9
2017.01,95.9,97.2
2017.02,97.7,97.6
2017.03,100,98
2017.04,99.6,98.5
2017.05,100.7,99.1
2017.06,99.9,99.6
2017.07,99.1,100.1
2017.08,100.2,100.5
2017.09,98.9,100.8
2017.10,102,101
2017.11,102,101
2017.12,101.7,100.8
2018.01,99.4,100.4
2018.02,101.0,99.9
2018.03,97.9,99.4
2018.04,99.6,99.0
2018.05,101.7,98.6
2018.06,100.2,98.3
2018.07,95.5,97.8
2018.08,96.6,97.4
2018.09,99.1,96.9
2018.10,95.1,96.4
2018.11,94.2,95.9
2018.12,94.4,95.5
2019.01,92.0,95.2
2019.02,97.2,95.0
2019.03,96.4,94.9
2019.04,97.4,94.8
2019.05,94.0,94.7
2019.06,94.7,94.7
2019.07,91.9,94.5
2019.08,91.2,94.2
2019.09,93.8,93.6
2019.10,93.2,92.6
2019.11,94.0,90.9
2019.12,94.8,88.4
2020.01,97.3,85.3
2020.02,89.8,81.6
2020.03,69.2,78.0
2020.04,62.2,75.3
2020.05,64.1,74.1
2020.06,68.7,74.4
2020.07,77.3,76.0
2020.08,83.3,78.3
2020.09,77.5,81.1
2020.10,88.6,84.2
2020.11,91.5,87.3
2020.12,85.6,90.3
2021.01,92.7,93.3
2021.02,96.3,96.2
2021.03,101.1,98.9
2021.04,105.2,101.2
2021.05,105.3,103.2
2021.06,109.2,104.8
2021.07,103.8,105.8
2021.08,105.2,106.4
2021.09,104.4,106.7
2021.10,105.5,106.7
2021.11,106.2,106.5
2021.12,104.5,106.0
2022.01,105.6,105.4
2022.02,105.7,104.8
2022.03,103.4,104.0
2022.04,105.7,103.3
2022.05,106.7,102.6
2022.06,102.5,101.8
2022.07,97.8,101.0
2022.08,99.3,100.2
2022.09,98.0,99.3
