,word,count
0,상장,38
1,되다,36
2,보다,22
3,않다,22
4,투자,21
5,것,20
6,매출,17
7,없다,14
8,마켓,14
9,고,13
10,청구,13
11,인,13
12,가치,13
13,거래,13
14,오다,13
15,컬리,12
16,올해,12
17,이익,12
18,하고,12
19,센터,11
20,시장,11
21,영업,11
22,지금,10
23,증권,10
24,회사,10
25,약,10
26,성장,10
27,올리다,10
28,내년,10
29,분할,10
30,1조,10
31,액면,10
32,같다,9
33,받다,9
34,적자,9
35,겁니다,9
36,물류,9
37,넘다,9
38,주다,9
39,등,8
40,공모,8
41,말,8
42,진행,7
43,듯,7
44,흑자,7
45,업계,7
46,많이,7
47,물량,7
48,가다,7
49,매도,7
50,되어다,7
51,많다,6
52,최근,6
53,사,6
54,정도,6
55,작업,6
56,싶다,6
57,100원,6
58,액면가,6
59,아니다,6
60,평가,6
61,발행,6
62,계획,6
63,실적,6
64,해당,6
65,5000원,6
66,면,6
67,높다,6
68,한국,5
69,신청,5
70,목표,5
71,기업가,5
72,나오다,5
73,시기,5
74,비싸다,5
75,사다,5
76,수준,5
77,확인,5
78,2조,5
79,상반기,5
80,내다,5
81,답변,5
82,상승,5
83,그렇다,5
84,보이다,5
85,자다,5
86,플랫폼,5
87,날,5
88,못,5
89,먹다,5
90,금리,5
91,다른,5
92,밸류,5
93,더,5
94,들어오다,5
95,심사,5
96,하반기,5
97,배송,5
98,새벽,5
99,서,5
100,밴드,4
101,기관,4
102,밖에,4
103,산정,4
104,일정,4
105,님,4
106,률,4
107,너무,4
108,싸다,4
109,조치,4
110,판단,4
111,무증,4
112,지난,4
113,고객,4
114,예비,4
115,신고,4
116,정지,4
117,관심,4
118,매수,4
119,매물,4
120,크다,4
121,확실하다,4
122,확보,4
123,아직,4
124,예정,4
125,1조원,4
126,주주,4
127,증가,4
128,예심,4
129,달성,4
130,유치,4
131,이미,4
132,갈다,4
133,위해,4
134,최대한,4
135,늘리다,4
136,3조,4
137,현재,4
138,규모,4
139,1분,4
140,나다,4
141,치르다,3
142,한쪽,3
143,ipo,3
144,가장,3
145,식품,3
146,맞다,3
147,거,3
148,들어가다,3
149,이르다,3
150,신선,3
151,무상증자,3
152,돈,3
153,늘다,3
154,해보다,3
155,벌다,3
156,시정,3
157,성장하다,3
158,쿠팡,3
159,하단,3
160,반기,3
161,량,3
162,제시,3
163,인지,3
164,예상,3
165,합,3
166,손익,3
167,식수,3
168,또,3
169,마무리,3
170,빠르다,3
171,대비,3
172,시작,3
173,백만원,3
174,기반,3
175,오늘,3
176,분들,3
177,방침,3
178,부서,3
179,사업,3
180,인정받다,3
181,온라인,3
182,폭발,3
183,이네,3
184,이라서,3
185,언제,3
186,관사,3
187,파다,3
188,데,3
189,담다,3
190,문제,3
191,IPO,3
192,마지막,3
193,3만,3
194,차별,3
195,70만원,3
196,살리다,3
197,원,3
198,최소한,3
199,수익,3
200,오프라인,3
201,거래소,3
202,의왕,3
203,앞,3
204,관계자,3
205,소프트,3
206,수지,3
207,경우,3
208,힘,3
209,가지,3
210,통한,3
211,유통,3
212,최대,3
213,누가,3
214,10조원,3
215,확장,3
216,개인,3
217,171,3
218,늘어나다,3
219,층,3
220,입다,3
221,대다,3
222,이라고,3
223,감사하다,3
224,계속,3
225,축하,2
226,간다,2
227,괜찮다,2
228,비상,2
229,진짜,2
230,우선주,2
231,안티,2
232,게다가,2
233,완료,2
234,초,2
235,출발,2
236,얼마나,2
237,화,2
238,일리,2
239,가도,2
240,우크라이나,2
241,까진,2
242,기다리다,2
243,입,2
244,금액,2
245,상태,2
246,130,2
247,과연,2
248,정비,2
249,이사회,2
250,사람,2
251,가능성,2
252,사서,2
253,이사,2
254,쪽,2
255,정확하다,2
256,전화,2
257,1300000,2
258,주가,2
259,얻다,2
260,현실,2
261,9189원,2
262,429,2
263,모으다,2
264,기사,2
265,30일,2
266,요물,2
267,알려지다,2
268,께,2
269,전화하다,2
270,150,2
271,곧,2
272,카카오,2
273,들다,2
274,기록,2
275,72억원,2
276,묻다,2
277,결정,2
278,걸,2
279,달,2
280,현황,2
281,경쟁,2
282,삭제,2
283,미팅,2
284,주관,2
285,증시,2
286,지나다,2
287,투자가,2
288,라는,2
289,기회,2
290,악의,2
291,이유,2
292,2조원,2
293,물론,2
294,허다,2
295,뒤,2
296,결과,2
297,기술,2
298,제,2
299,그래서,2
300,러시아,2
301,개월,2
302,최종,2
303,바이오,2
304,편이,2
305,중인,2
306,수도,2
307,당연하다,2
308,100,2
309,기존,2
310,새롭다,2
311,다발,2
312,몰다,2
313,모두,2
314,분기,2
315,NH,2
316,생각,2
317,21년,2
318,그룹,2
319,답,2
320,1000억원,2
321,감소,2
322,자회사,2
323,지난해,2
324,글로벌,2
325,동기,2
326,2024억원,2
327,이랜드리테일,2
328,SSG,2
329,행사,2
330,가동,2
331,3월,2
332,주주총회,2
333,넘기다,2
334,정해지다,2
335,쓱,2
336,추진,2
337,상단,2
338,건,2
339,션,2
340,자공시,2
341,하나요,2
342,밝히다,2
343,20,2
344,왜,2
345,사모펀드,2
346,이번,2
347,자금,2
348,대단하다,2
349,파악,2
350,비용,2
351,외형,2
352,에도,2
353,변경,2
354,해주다,2
355,대박,2
356,루트,2
357,배정,2
358,재다,2
359,어제,2
360,미리,2
361,보통주,2
362,딜러,2
363,이렇다,2
364,직원,2
365,이고,2
366,교부,2
367,5일,2
368,하지만,2
369,보유,2
370,살다,2
371,대에서,2
372,기대하다,2
373,중소기업,2
374,외,2
375,업무,2
376,어렵다,2
377,VC,2
378,추가,2
379,성남,2
380,한정,2
381,계시다,2
382,참고,2
383,율,2
384,계시,2
385,부분,2
386,줄다,2
387,경영,2
388,국면,2
389,가요,2
390,어디서,2
391,내외,2
392,비다,2
393,130만원,2
394,스타트업,2
395,니,2
396,사보다,2
397,모이다,2
398,니까,2
399,늦다,2
400,시키다,2
401,남,2
402,남다,2
403,이나,2
404,시스템,2
405,서류,2
406,자체,2
407,매장,2
408,든,2
409,화하다,2
410,쯤,2
411,변화,2
412,통해,2
413,갖다,2
414,전혀,2
415,취소,2
416,준비,2
417,투,2
418,본인,1
419,입성,1
420,5000만원,1
421,180억,1
422,4천억,1
423,이자,1
424,점,1
425,할당량,1
426,13일,1
427,출처,1
428,특징,1
429,볼때,1
430,청구도,1
431,이커머스,1
432,산술,1
433,극대,1
434,234,1
435,예측,1
436,전반,1
437,달리,1
438,구축,1
439,활,1
440,용도,1
441,특히,1
442,자료,1
443,이어서,1
444,만으로도,1
445,시너지,1
446,맞추다,1
447,JV,1
448,44억,1
449,강자,1
450,결성,1
451,V,1
452,숙련,1
453,라도,1
454,장비,1
455,마트,1
456,가칭,1
457,자동화,1
458,런칭,1
459,형태,1
460,40억원,1
461,겨루다,1
462,코리아,1
463,엄청나다,1
464,메시,1
465,2022년,1
466,불과하다,1
467,호조,1
468,보여주다,1
469,문,1
470,벌써,1
471,나타나다,1
472,한눈,1
473,연,1
474,보더,1
475,성과,1
476,통,1
477,풀필먼트,1
478,방식,1
479,가시,1
480,조만간,1
481,엔,1
482,기간,1
483,구간,1
484,이런,1
485,과거,1
486,신규,1
487,모르다,1
488,서지,1
489,금사면,1
490,자세하다,1
491,202252,1
492,들어서다,1
493,5000,1
494,어려워지다,1
495,연구원,1
496,비율,1
497,대다김명주,1
498,공개,1
499,주로,1
500,2022516,1
501,510913,1
502,24730300,1
503,815350,1
504,이랑,1
505,주심,1
506,연말,1
507,인지도,1
508,요인,1
509,울,1
510,경기,1
511,프리미엄,1
512,치의,1
513,기점,1
514,지방,1
515,으로도,1
516,으로는,1
517,높이다,1
518,재,1
519,IB,1
520,에는,1
521,장하다,1
522,감사,1
523,백도,1
524,사도,1
525,알켜,1
526,고성,1
527,가속,1
528,포함,1
529,속도,1
530,피드백,1
531,별도,1
532,며,1
533,비,1
534,뿐,1
535,최고,1
536,아래,1
537,처리율,1
538,사상,1
539,당,1
540,989억원,1
541,오랜,1
542,4만,1
543,262020년,1
544,2021,1
545,정직,1
546,각종,1
547,건립,1
548,강점,1
549,용이하다,1
550,활용,1
551,일시,1
552,타,1
553,후반,1
554,론칭하,1
555,불가능,1
556,킴스,1
557,mmknewsstockview,1
558,2022043795892조만,1
559,되도,1
560,끄다,1
561,가려지다,1
562,요욕,1
563,분위기,1
564,뻥튀기,1
565,에나,1
566,카테고리,1
567,가즈,1
568,손잡다,1
569,516일,1
570,501,1
571,거래량,1
572,유지,1
573,선행,1
574,해결,1
575,강화하다,1
576,장점,1
577,그냥,1
578,과도,1
579,적용,1
580,노하우,1
581,장성만,1
582,부채,1
583,요즘,1
584,높이,1
585,멀티,1
586,목도,1
587,참패,1
588,플,1
589,게,1
590,주목,1
591,무너지다,1
592,우후죽순,1
593,4000억,1
594,유니콘,1
595,5000억원,1
596,거듭,1
597,무한,1
598,키우다,1
599,폭,1
600,강조,1
601,끌다,1
602,330억원,1
603,213,1
604,사들이다,1
605,바,1
606,진가,1
607,크게,1
608,개선,1
609,바탕,1
610,대한,1
611,서서히,1
612,객관성,1
613,차이다,1
614,159,1
615,1708,1
616,과의,1
617,도모,1
618,훗날,1
619,내면,1
620,꾸준하다,1
621,더불다,1
622,355,1
623,통제,1
624,넓다,1
625,수요,1
626,만을,1
627,5월,1
628,정관,1
629,검토,1
630,까지는,1
631,중임,1
632,최우식,1
633,사전,1
634,대표이사,1
635,안준형,1
636,만료,1
637,임기,1
638,급등,1
639,가능,1
640,거치다,1
641,과정,1
642,메자닌,1
643,전환,1
644,명의,1
645,사외이사,1
646,선임,1
647,마치다,1
648,당초,1
649,불가능하다,1
650,만큼,1
651,상당하다,1
652,객관,1
653,가액,1
654,당시,1
655,이었던,1
656,고려,1
657,연일,1
658,전체,1
659,수의,1
660,가정,1
661,다음주,1
662,지연,1
663,3000억원,1
664,넘어서다,1
665,뜻,1
666,추측,1
667,급박하다,1
668,이지만,1
669,다소,1
670,길어지다,1
671,발휘,1
672,우군,1
673,마케팅,1
674,협력,1
675,이기다,1
676,길다,1
677,짧다,1
678,대보다,1
679,안다,1
680,생산자,1
681,미국,1
682,영국,1
683,21,1
684,나가야,1
685,덩치,1
686,전쟁,1
687,쌓다,1
688,의외로,1
689,차근차근,1
690,다지,1
691,되새기다,1
692,바르다,1
693,의미,1
694,오지,1
695,직거래,1
696,마진,1
697,2062,1
698,연결,1
699,거의,1
700,소문,1
701,본기,1
702,안좋다,1
703,불구,1
704,견인,1
705,폐기,1
706,좋다,1
707,0,1
708,여러분,1
709,직접,1
710,바라다,1
711,온,1
712,장주,1
713,박살,1
714,구르다,1
715,지난달,1
716,추구,1
717,효율,1
718,운영,1
719,코스닥,1
720,도광양회,1
721,교훈,1
722,12년,1
723,할인,1
724,권,1
725,주도,1
726,합치다,1
727,한때,1
728,많아지다,1
729,더욱,1
730,한계,1
731,지속,1
732,유치하다,1
733,테,1
734,도약,1
735,6월,1
736,주인,1
737,포진,1
738,구주,1
739,내부,1
740,84만,1
741,인력,1
742,우수하다,1
743,가져가다,1
744,확정,1
745,전략,1
746,세우다,1
747,회한,1
748,카,1
749,쏘다,1
750,티몬,1
751,치자,1
752,예외,1
753,존재,1
754,따르다,1
755,보지,1
756,25일,1
757,한번,1
758,사단,1
759,그리고,1
760,허황,1
761,그러나,1
762,주도하다,1
763,플레이어,1
764,몇몇,1
765,인하다,1
766,제출,1
767,6986원,1
768,보고,1
769,신주,1
770,본격,1
771,불,1
772,붙다,1
773,100조,1
774,울다,1
775,1년,1
776,4050,1
777,씩,1
778,필요없다,1
779,어차피,1
780,36691,1
781,13627323,1
782,아무,1
783,500억,1
784,주권,1
785,8월,1
786,증자,1
787,공시,1
788,23년,1
789,는걸,1
790,박히다,1
791,초면,1
792,유명,1
793,여력,1
794,하니,1
795,머셜,1
796,TV,1
797,무시,1
798,우위,1
799,형성,1
800,중이,1
801,랍니,1
802,가로,1
803,배팅,1
804,맡기다,1
805,속,1
806,말고,1
807,2400억,1
808,정도인가요마켓컬리,1
809,14,1
810,7500억,1
811,판돈,1
812,일부,1
813,반,1
814,연간,1
815,45,1
816,백억,1
817,충분하다,1
818,찍,1
819,작년,1
820,어마,1
821,136만원,1
822,옵션,1
823,수호,1
824,희망,1
825,짜리,1
826,힘들다,1
827,1000,1
828,130000,1
829,2600원,1
830,400,1
831,10400원,1
832,에서는,1
833,5200000원,1
834,무거워,1
835,보이,1
836,그러자,1
837,없이,1
838,이데일리,1
839,참조,1
840,세,1
841,요구,1
842,매각,1
843,이모,1
844,ib,1
845,5천,1
846,대가,1
847,하방,1
848,안전성,1
849,1300000원,1
850,20만원,1
851,순식간,1
852,펌,1
853,500억원,1
854,어치를,1
855,산,1
856,믿다,1
857,불다,1
858,괜히,1
859,언,1
860,넝,1
861,사시,1
862,신분,1
863,이라도,1
864,올라타다,1
865,걱정,1
866,찾아보다,1
867,뻥,1
868,137,1
869,퍼다,1
870,나르다,1
871,138,1
872,팔면,1
873,8만원,1
874,이득,1
875,열심히,1
876,다물다,1
877,매다,1
878,그걸,1
879,팔육일팔,1
880,작다,1
881,아쉽다,1
882,수혈,1
883,견실,1
884,창문,1
885,공단,1
886,산업,1
887,단지,1
888,도합,1
889,얼마,1
890,게시판,1
891,삼육사일,1
892,이라고는,1
893,연락,1
894,30,1
895,사고,1
896,말다,1
897,고민,1
898,팔리다,1
899,빨간색,1
900,검색,1
901,인천,1
902,seoul,1
903,고고,1
904,섹터,1
905,떨어지다,1
906,조금,1
907,함께,1
908,판도,1
909,5년,1
910,앞당겨지다,1
911,인테넷,1
912,제대로,1
913,선진국,1
914,사재기,1
915,우리나라,1
916,배달민족,1
917,후손,1
918,생필품,1
919,오히려,1
920,눈,1
921,점점,1
922,거세지다,1
923,시대,1
924,저물다,1
925,시점,1
926,선점,1
927,업체,1
928,이여,1
929,아이스,1
930,움직이다,1
931,750000원,1
932,총각,1
933,수자,1
934,으로라도,1
935,단어,1
936,1000000원,1
937,10000,1
938,활발해지다,1
939,사장,1
940,꼭,1
941,요청,1
942,경고,1
943,싸지르다,1
944,노처녀,1
945,히스테리,1
946,한테,1
947,오픈마켓,1
948,감,1
949,참으로,1
950,알,1
951,노릇,1
952,의사,1
953,물다,1
954,명,1
955,매입,1
956,급속하다,1
957,올라오다,1
958,매,1
959,양,1
960,처음,1
961,그러니까,1
962,걸다,1
963,버전,1
964,비교,1
965,그래도,1
966,제일,1
967,야,1
968,말로,1
969,없어지다,1
970,수수,1
971,꼴랑,1
972,팔지,1
973,며칠,1
974,장난,1
975,질,1
976,치고,1
977,휴,1
978,인생,1
979,불쌍타,1
980,매도물량,1
981,가능하다,1
982,야사,1
983,시간지연,1
984,놔두다,1
985,요담,1
986,떳,1
987,1천억,1
988,85천억,1
989,뱅크,1
990,한창,1
991,신세계,1
992,통합,1
993,닷,1
994,컴,1
995,5조원,1
996,순이,1
997,현대,1
998,중공업,1
999,지주,1
1000,현,1
1001,릴레이,1
1002,라운드,1
1003,어가,1
1004,엔터테인먼트,1
1005,모주,1
1006,뜨겁다,1
1007,달구다,1
1008,급,1
1009,후보,1
1010,헉스,1
1011,pre,1
1012,밸류에,1
1013,근거,1
1014,채비,1
1015,선정,1
1016,대표,1
1017,증권사,1
1018,또한,1
1019,유력하다,1
1020,일각,1
1021,앞당기다,1
1022,관측,1
1023,내놓다,1
1024,기도,1
1025,서두르다,1
1026,아무래도,1
1027,업종,1
1028,특성,1
1029,상,1
1030,아주,1
1031,중요하다,1
1032,부족하다,1
1033,겨우,1
1034,5분,1
1035,불리다,1
1036,닷컴,1
1037,대주,1
1038,꼽히다,1
1039,미래에셋,1
1040,대형,1
1041,어,1
1042,시초,1
1043,tpg,1
1044,그러면,1
1045,인가요,1
1046,편지,1
1047,안건,1
1048,초대장,1
1049,IR,1
1050,에선,1
1051,하라,1
1052,냉무,1
1053,로는,1
1054,당일,1
1055,명부,1
1056,주주명부,1
1057,가기,1
1058,폐쇄되,1
1059,금일,1
1060,31일,1
1061,이건,1
1062,의문,1
1063,명시,1
1064,대로,1
1065,문의,1
1066,엠바고,1
1067,일반,1
1068,이기,1
1069,날아가다,1
1070,땡큐,1
1071,부터로 ,1
1072,반영일,1
1073,무상,1
1074,230만원,1
1075,라면,1
1076,심각하다,1
1077,설마,1
1078,권유,1
1079,계좌,1
1080,뽀샵,1
1081,소름,1
1082,돋다,1
1083,아직도,1
1084,인간,1
1085,27,1
1086,힘주다,1
1087,남요,1
1088,간두다,1
1089,보시,1
1090,동감,1
1091,따블,1
1092,장외는,1
1093,정도라는게,1
1094,오른,1
1095,15조,1
1096,즐기다,1
1097,기대,1
1098,정기,1
1099,강제,1
1100,40억,1
1101,통과,1
1102,	,1
1103,먼저,1
1104,이냐,1
1105,50만,1
1106,주무증,1
1107,대략,1
1108,궁금하다,1
1109,5회,1
1110,규정,1
1111,한다는,1
1112,냐,1
1113,따위,1
1114,차례,1
1115,안내,1
1116,담당,1
1117,회원,1
1118,고의,1
1119,때문,1
1120,제재,1
1121,의적,1
1122,유저,1
1123,별반,1
1124,1100억,1
1125,20년,1
1126,9억,1
1127,780억,1
1128,라니,1
1129,퀵,1
1130,커머스,1
1131,팔지마다,1
1132,까지만,1
1133,부담,1
1134,줄어들다,1
1135,그런,1
1136,가보,1
1137,좋아지다,1
1138,5조,1
1139,플러스,1
1140,사모,1
1141,9천억,1
1142,인정,1
1143,두,1
1144,뛰다,1
1145,구,1
1146,오진,1
1147,끝,1
1148,흠,1
1149,1670억,1
1150,22억,1
1151,소용,1
1152,23,1
1153,똑같이,1
1154,쇠고기,1
1155,여,1
1156,곳,1
1157,이랑은,1
1158,시세,1
1159,280,1
1160,여기다,1
1161,서로,1
1162,담합,1
1163,내리다,1
1164,쭉,1
1165,하락,1
1166,빨다,1
1167,사가,1
1168,152조,1
1169,무난,1
1170,린,1
1171,1020,1
1172,니당다,1
1173,신중하다,1
1174,굿럭,1
1175,181만,1
1176,코로나,1
1177,목숨,1
1178,마리,1
1179,두다,1
1180,번,1
1181,겠다,1
1182,왈,1
1183,물이,1
1184,여기,1
1185,해,1
1186,물,1
1187,오르다,1
1188,포기,1
1189,찬성,1
1190,근데,1
1191,5천원,1
1192,19,1
1193,력,1
1194,대체로,1
1195,PER,1
1196,PSR,1
1197,코스피,1
1198,적극,1
1199,유가,1
1200,발표,1
1201,필연,1
1202,만년,1
1203,테슬라,1
1204,요건,1
1205,축소,1
