,word,count,label
0,배송,11,-
1,새벽,10,-
2,오아시스,8,-
3,시장,5,-
4,IPO,5,-
5,마켓,4,-
6,물류,4,-
7,센터,4,-
8,경쟁,4,-
9,SSG,3,-
10,컬리,3,-
11,재,3,-
12,생협,3,-
13,네이버,3,-
14,요,3,-
15,대표,3,-
16,내년,3,-
17,상,2,-
18,유통,2,-
19,장사,2,-
20,루트,2,-
21,속,2,-
22,확대,2,-
23,기,2,-
24,백,2,-
25,출혈,2,-
26,강,2,-
27,나,2,-
28,등,2,-
29,펴다,2,-
30,상장,2,-
31,간판,2,-
32,위상,2,-
33,플랫폼,2,-
34,재벌,2,-
35,총수,2,-
36,마트,2,-
37,장보기,2,-
38,치열하다,2,-
39,세기,2,-
40,안정,2,-
41,평화시장,2,-
42,21,2,-
43,짜내다,2,-
44,노동자,2,-
45,불,2,-
46,1,2,-
47,호,2,-
48,누가,2,-
49,기업,2,-
50,노동,2,-
51,핵심,2,-
52,개,1,-
53,부활,1,-
54,퀵,1,-
55,커머스,1,-
56,5,1,-
57,유니콘,1,-
58,1조,1,-
59,몸값,1,-
60,때,1,-
61,여기다,1,-
62,것,1,-
63,1시간,1,-
64,바꾸다,1,-
65,판도,1,-
66,한기,1,-
67,신선,1,-
68,늘다,1,-
69,맞다,1,-
70,번가,1,-
71,이랜드,1,-
72,가동,1,-
73,혹,1,-
74,내,1,-
75,서비스,1,-
76,손,1,-
77,근무,1,-
78,고무줄,1,-
79,재해,1,-
80,없다,1,-
81,웃다,1,-
82,동의,1,-
83,연,1,-
84,룩,1,-
85,수두,1,-
86,불량,1,-
87,소방시설,1,-
88,잊다,1,-
89,화재,1,-
90,쿠팡,1,-
91,급증,1,-
92,리테일,1,-
93,산업,1,-
94,징계,1,-
95,장수,1,-
96,11,1,-
97,짜다,1,-
98,판,1,-
99,새,1,-
100,당,1,-
101,오다,1,-
102,이다,1,-
103,세,1,-
104,체불,1,-
105,성장,1,-
106,이의제기,1,-
107,엔,1,-
108,결국,1,-
109,매장,1,-
110,GS,1,-
111,온라인,1,-
112,줄줄이,1,-
113,신기록,1,-
114,행진,1,-
115,이어지다,1,-
116,홈쇼핑,1,-
117,진출,1,-
118,러쉬,1,-
119,접수,1,-
120,수조,1,-
121,후,1,-
122,발주,1,-
123,잇다,1,-
124,참전,1,-
125,2,1,-
126,차다,1,-
127,소재,1,-
128,원대,1,-
129,가치,1,-
130,대구,1,-
131,컴,1,-
132,증권,1,-
133,목표,1,-
134,주,1,-
135,간사,1,-
136,선정,1,-
137,어디,1,-
138,닷,1,-
139,주인공,1,-
140,예상,1,-
141,되다,1,-
142,규모,1,-
143,30조원,1,-
144,대역대급을,1,-
145,넘어서다,1,-
146,역대,1,-
147,급,1,-
148,유망,1,-
149,유치,1,-
150,요기,1,-
151,닷컴,1,-
152,간,1,-
153,이어진,1,-
154,명칭,1,-
155,논란,1,-
156,에서,1,-
157,떼다,1,-
158,앞두다,1,-
159,서,1,-
160,탈진,1,-
161,빼다,1,-
162,높아지다,1,-
163,한자리,1,-
164,달라지다,1,-
165,실감,1,-
166,어깨,1,-
167,나란하다,1,-
168,10년,1,-
169,잘나가다,1,-
170,1530억원,1,-
171,최적화,1,-
172,투자,1,-
173,직원,1,-
174,스마트폰,1,-
175,앱,1,-
176,집,1,-
177,화,1,-
178,포장,1,-
179,흑자,1,-
180,임박,1,-
181,못,1,-
182,견디다,1,-
183,롯데,1,-
184,온,1,-
185,BGF,1,-
186,접다,1,-
187,엔데믹,1,-
188,시동,1,-
